current_name,steamid64,oz_id,c7
APVC,76561199090168813,4288,4
h1ro,76561198307700283,1381,4
qb,76561198412329672,5488,4
AUZ,76561198206072125,912,3
LOLoliver,76561199109988283,5244,3
Gooseman,76561198011425371,675,2
brodie escobar,76561198086751156,150,2
doku,76561199205319751,4924,2
dril,76561198827805451,2027,2
monkeyspanker43,76561198819280984,2815,2
zek,76561198324300584,5308,2
1O9,76561198212029720,5449,1
ALL HAIL KING BIG NUTZ 2021,76561197982503303,352,1
Jackaks,76561199516381193,5750,1
KING BIG NUTZ 2021,76561198039913278,3263,1
MEMORIES,76561198120920913,554,1
Morbus,76561198258717546,3971,1
PILLS!,76561198315362212,5920,1
Stamm,76561198041993019,3747,1
Tenous,76561198143631024,3629,1
Toki,76561198337887896,5120,1
Trash,76561198110764631,3998,1
YkjR,76561198825185244,3666,1
akari,76561198068549523,738,1
amnok,76561198066752804,4104,1
down,76561198084977572,299,1
hoyehh,76561198131939903,3682,1
juna,76561198513775985,4559,1
schnapps,76561198146554815,5299,1
shadi,76561198073097952,4907,1
shooter of bad guys,76561198838163169,4962,1
silvo,76561198186769550,333,1
tez,76561198963311745,5846,1
trev,76561198096472815,1871,1
typo.,76561198397355790,2679,1
wysm,76561199005591075,5425,1
ziah,76561198159375596,4395,1
